scenario,mode,detected,runs,rate_percent,commit,features
two_lock,deloxide,170,1000,17.0,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide
two_lock,deloxide_random_default,591,1000,59.1,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide_random_default
two_lock,deloxide_aggressive,837,1000,83.7,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide_aggressive
two_lock,deloxide_component_based_delays,999,1000,99.9,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide_component_based_delays
three_lock_cycle,deloxide,802,1000,80.2,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide
three_lock_cycle,deloxide_random_default,979,1000,97.9,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide_random_default
three_lock_cycle,deloxide_aggressive,998,1000,99.8,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide_aggressive
three_lock_cycle,deloxide_component_based_delays,1000,1000,100.0,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide_component_based_delays
dining_philosophers,deloxide,363,1000,36.3,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide
dining_philosophers,deloxide_random_default,690,1000,69.0,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide_random_default
dining_philosophers,deloxide_aggressive,869,1000,86.9,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide_aggressive
dining_philosophers,deloxide_component_based_delays,999,1000,99.9,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide_component_based_delays
rwlock_deadlock,deloxide,336,1000,33.6,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide
rwlock_deadlock,deloxide_random_default,708,1000,70.8,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide_random_default
rwlock_deadlock,deloxide_aggressive,873,1000,87.3,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide_aggressive
rwlock_deadlock,deloxide_component_based_delays,1000,1000,100.0,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide_component_based_delays
five_lock_cycle,deloxide,1000,1000,100.0,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide
five_lock_cycle,deloxide_random_default,1000,1000,100.0,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide_random_default
five_lock_cycle,deloxide_aggressive,1000,1000,100.0,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide_aggressive
five_lock_cycle,deloxide_component_based_delays,1000,1000,100.0,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide_component_based_delays
