configuration,resolution,run,frame_ms,locks,peak_rss_mb,commit,features
use_std,1920x1080,1,20434,129600,43.20,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,use_std
use_std,1920x1080,2,33832,129600,40.70,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,use_std
use_std,1920x1080,3,28293,129600,45.48,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,use_std
use_std,1920x1080,4,24113,129600,43.66,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,use_std
use_std,1920x1080,5,19686,129600,42.27,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,use_std
use_std,1920x1080,6,22188,129600,44.19,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,use_std
use_std,1920x1080,7,27233,129600,46.69,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,use_std
use_std,1920x1080,8,22778,129600,46.42,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,use_std
use_std,1920x1080,9,17654,129600,40.05,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,use_std
use_std,1920x1080,10,18577,129600,41.89,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,use_std
parking_lot_deadlock,1920x1080,1,22674,129600,37.03,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,parking_lot_deadlock
parking_lot_deadlock,1920x1080,2,23829,129600,44.91,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,parking_lot_deadlock
parking_lot_deadlock,1920x1080,3,20226,129600,46.83,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,parking_lot_deadlock
parking_lot_deadlock,1920x1080,4,18938,129600,46.55,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,parking_lot_deadlock
parking_lot_deadlock,1920x1080,5,20248,129600,43.17,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,parking_lot_deadlock
parking_lot_deadlock,1920x1080,6,19974,129600,46.88,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,parking_lot_deadlock
parking_lot_deadlock,1920x1080,7,21393,129600,42.41,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,parking_lot_deadlock
parking_lot_deadlock,1920x1080,8,22814,129600,40.67,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,parking_lot_deadlock
parking_lot_deadlock,1920x1080,9,21919,129600,42.50,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,parking_lot_deadlock
parking_lot_deadlock,1920x1080,10,24235,129600,46.36,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,parking_lot_deadlock
deloxide,1920x1080,1,25846,129600,40.50,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide
deloxide,1920x1080,2,24118,129600,44.38,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide
deloxide,1920x1080,3,23634,129600,48.62,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide
deloxide,1920x1080,4,20940,129600,48.03,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide
deloxide,1920x1080,5,23301,129600,47.84,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide
deloxide,1920x1080,6,22258,129600,48.75,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide
deloxide,1920x1080,7,22183,129600,46.73,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide
deloxide,1920x1080,8,22698,129600,40.34,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide
deloxide,1920x1080,9,25602,129600,40.22,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide
deloxide,1920x1080,10,26965,129600,43.91,baa9e89ef87191d25832b4ecf567c5dd26b4a6ae,deloxide
